CH1V,CH2V
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
